place_name,description,state,view,from_date_1,to_date_1,from_date,to_date,price,original_price,price_str,rating,no_of_rates
Private room in New Brunswick,Rm #3 Lg Private Rm by Rutgers+NYC + Jersey Shore,Alabama,146,4/27/2023,5/2/2023,4/27/2023,5/2/2023,55,55,$55 night$55 per night,4.9,664
Home in Neptune Township,The Stockton - Victorian Ocean Grove near Asbury,Alabama,237,4/27/2023,5/3/2023,4/27/2023,5/3/2023,163,163,$163 night$163 per night,4.9,272
Private room in Manasquan,The Sea Loft,Alabama,321,5/29/2023,6/5/2023,5/29/2023,6/5/2023,133,148,"$148 $133 night$133 per night, originally $148",4.9,63
Cottage in Lavallette,Cute Cottage,Alabama,312,5/14/2023,5/19/2023,5/14/2023,5/19/2023,118,155,"$155 $118 night$118 per night, originally $155",4.9,91
Guesthouse in Seaside Park,Unique Spanish Villa (no loud parties),Alabama,270,4/23/2023,4/28/2023,4/23/2023,4/28/2023,199,199,$199 night$199 per night,4.9,462
Condo in Seaside Heights,Bayside bungalow just a few blocks from the beach,Alabama,128,4/23/2023,4/28/2023,4/23/2023,4/28/2023,154,154,$154 night$154 per night,4.9,71
Home in Red Bank,Quiet 2 bedroom with resort setting,Alabama,140,4/24/2023,4/29/2023,4/24/2023,4/29/2023,150,150,$150 night$150 per night,4.9,43
Guesthouse in Highlands,The Bungalow at Sandy Hook House,Alabama,173,5/14/2023,5/21/2023,5/14/2023,5/21/2023,156,156,$156 night$156 per night,4.8,14
Apartment in Hammonton,Casa de Sweetwater- 3 bedroom- Waterfront,Alabama,105,4/19/2023,4/24/2023,4/19/2023,4/24/2023,360,360,$360 night$360 per night,5,39
Home in Berkeley Township,"Walk to Bay Beach, Quiet Dirt Road Fireplace & Pit",Alabama,213,5/1/2023,5/8/2023,5/1/2023,5/8/2023,171,227,"$227 $171 night$171 per night, originally $227",4.9,348
Home in Keansburg,Welcome to Paradise!!! The perfect beach cottage!,Alabama,166,4/23/2023,4/28/2023,4/23/2023,4/28/2023,247,247,$247 night$247 per night,4.8,29
Home in Seaside Heights,Steps Away from Seaside Heights Boardwalk!,Alabama,281,4/23/2023,4/28/2023,4/23/2023,4/28/2023,140,140,$140 night$140 per night,4.8,111
Private room in Red Bank,Red Bank ~ a cool little town at the Jersey Shore,Alabama,151,6/7/2023,6/12/2023,6/7/2023,6/12/2023,95,95,$95 night$95 per night,4.9,242
Home in Ocean Gate,"Modern Beach Town Home, Heated Pool Hot & Tub",Alabama,262,4/18/2023,4/23/2023,4/18/2023,4/23/2023,490,490,$490 night$490 per night,4.9,48
Apartment in Asbury Park,"Asbury Park Gem #3, Sleeps up to 4 in 1bd apt.!",Alabama,235,5/15/2023,5/20/2023,5/15/2023,5/20/2023,154,154,$154 night$154 per night,4.9,81
Apartment in Point Pleasant Beach,"Walk to beach, clean & comfortable",Alabama,103,5/20/2023,5/25/2023,5/20/2023,5/25/2023,185,210,"$210 $185 night$185 per night, originally $210",4.9,286
Home in Little Egg Harbor Township,"M & M Waterfront Rental in Mystic Island, N.J.",Alabama,119,4/19/2023,4/25/2023,4/19/2023,4/25/2023,225,225,$225 night$225 per night,5,88
Home in Point Pleasant Beach,Walk To Beach From Stylish Home,Alabama,541,4/18/2023,4/23/2023,4/18/2023,4/23/2023,262,350,"$350 $262 night$262 per night, originally $350",4.9,11
Home in Spring Lake,Entire House in Spring Lake Heights,Alabama,120,5/13/2023,5/18/2023,5/13/2023,5/18/2023,173,173,$173 night$173 per night,4.9,63
Apartment in Wall Township,"Beautiful Apartment, near Marina & Beach in Belmar",Alabama,124,4/20/2023,4/26/2023,4/20/2023,4/26/2023,154,154,$154 night$154 per night,4.8,43
Home in Princeton,Einstein Lounge in Downtown-2 BR w/Loft & Parking,Alabama,106,4/29/2023,5/4/2023,4/29/2023,5/4/2023,265,265,$265 night$265 per night,4.9,142
Townhouse in Beach Haven,Loft Style 1 Bedroom In The Heart of Beach Haven!,Alabama,157,5/12/2023,5/17/2023,5/12/2023,5/17/2023,345,345,$345 night$345 per night,4.9,32
Cottage in Middletown,Cozy Cottage Retreat on North Jersey Shore,Alabama,104,4/25/2023,4/30/2023,4/25/2023,4/30/2023,149,149,$149 night$149 per night,4.9,90
Condo in Seaside Park,Cozy Seaside Park Condo,Alabama,151,4/24/2023,4/30/2023,4/24/2023,4/30/2023,85,100,"$100 $85 night$85 per night, originally $100",4.9,29
Home in Long Branch,*HIDDEN GEM* Renovated Beach House-walk to beach,Alabama,200,6/10/2023,6/15/2023,6/10/2023,6/15/2023,600,600,$600 night$600 per night,5,8
Home in Lavallette,Shore Haven Walk to beach and bay,Alabama,120,5/4/2023,5/9/2023,5/4/2023,5/9/2023,260,260,$260 night$260 per night,5,87
